id	state	date
sample7278	IN	2020-04-06
sample7296	IN	2020-03-16
sample7276	IN	2020-03-24
sample7291	IN	2020-03-17
sample7307	KS	2020-03-06
sample7308	KS	2020-03-10
sample7309	KS	2020-03-18
sample7310	KY	2020-03-18
sample7311	KY	2020-03-18
sample7312	KY	2020-03-18
sample7313	KY	2020-04-10
sample7314	KY	2020-04-11
sample7874	LA	2020-03-31
sample8452	LA	2020-06-25
sample7378	LA	2020-05-09
sample7426	LA	2020-04-28
sample7393	LA	2020-04-03
sample8054	LA	2020-06-23
sample7959	LA	2020-06-12
sample7410	LA	2020-04-08
sample8311	LA	2020-08-05
sample7936	LA	2020-04-15
sample7357	LA	2020-05-07
sample7419	LA	2020-04-08
sample7809	LA	2020-06-20
sample8051	LA	2020-06-22
sample8417	LA	2020-05-20
sample8722	MA	2020
sample8645	MA	2020-03-23
sample8807	MA	2020-04-06
sample8506	MA	2020-04-06
sample8843	MA	2020-04-05
sample8511	MA	2020-03-23
sample8799	MA	2020-03-27
sample8867	MA	2020-06-26
sample8521	MA	2020-04-01
sample8677	MA	2020-03-26
sample8608	MA	2020-04-06
sample8590	MA	2020-03-22
sample8528	MA	2020-04-01
sample8489	MA	2020-03-22
sample8642	MA	2020-03-21
sample9159	MD	2020-10-22
sample8912	MD	2020-03-17
sample8910	MD	2020-03-19
sample9184	MD	2020-03-23
sample9039	MD	2020-07-15
sample9268	MD	2020-10-13
sample9288	MD	2020-10-14
sample9028	MD	2020-04-09
sample8961	MD	2020-04-03
sample8976	MD	2020-04-06
sample9178	MD	2020-03-30
sample9285	MD	2020-10-13
sample9226	MD	2020-05-26
sample9078	MD	2020-09-17
sample9136	MD	2020-10-13
sample9374	ME	2020-03-18
sample9375	ME	2020-03-20
sample9301	ME	2020-03-12
sample9380	ME	2020-03-22
sample9344	ME	2020-03-19
sample9349	ME	2020-03-16
sample9369	ME	2020-03-19
sample9396	ME	2020-03-16
sample9343	ME	2020-03-19
sample9366	ME	2020-03-20
sample9309	ME	2020-03-14
sample9306	ME	2020-03-14
sample9360	ME	2020-03-19
sample9336	ME	2020-03-16
sample9340	ME	2020-03-17
sample11180	MI	2020-10-15
sample10056	MI	2020-03-30
sample9953	MI	2020-03-20
sample10390	MI	2020-10-05
sample9470	MI	2020-03-14
sample10643	MI	2020-10-20
sample10323	MI	2020-04-20
sample9636	MI	2020-10-07
sample10365	MI	2020-09-21
sample10748	MI	2020-05-26
sample9709	MI	2020-03-30
sample10762	MI	2020-07-01
sample9751	MI	2020-04-14
sample10723	MI	2020-04-24
sample10853	MI	2020-03-20
sample12250	MN	2020-04-20
sample12081	MN	2020-04-04
sample12019	MN	2020-03-10
sample12054	MN	2020-03-25
sample12533	MN	2020-03-17
sample12588	MN	2020-03-14
sample12513	MN	2020-03-23
sample12683	MN	2020-05-07
sample12038	MN	2020-03-25
sample11525	MN	2020-03-18
sample12821	MN	2020-04-14
sample12357	MN	2020-04-14
sample11699	MN	2020-05-04
sample11514	MN	2020-08-17
sample12865	MN	2020-10-18
sample12906	MO	2020-06-08
sample12941	MO	2020-03-18
sample12918	MO	2020-06-19
sample12927	MO	2020-06-19
sample12925	MO	2020-06-19
sample12923	MO	2020-06-19
sample12958	MO	2020-08-16
sample12943	MO	2020-03-17
sample12935	MO	2020-03-18
sample12933	MO	2020-03-18
sample12939	MO	2020-03-18
sample12926	MO	2020-06-19
sample12951	MO	2020-03-14
sample12938	MO	2020-03-18
sample12921	MO	2020-06-19
sample12988	MS	2020-03-15
sample12997	MS	2020-08-22
sample12986	MS	2020-03-13
sample13001	MS	2020-09-03
sample13000	MS	2020-08-22
sample12961	MS	2020-03-22
sample12994	MS	2020-04-01
sample12989	MS	2020-03-15
sample12964	MS	2020-03-30
sample12981	MS	2020-03-01
sample12965	MS	2020-03-20
sample13003	MS	2020-03-23
sample12968	MS	2020-08-25
sample12998	MS	2020-08-22
sample12975	MS	2020-09-03
sample13004	MT	2020-07-19
sample13005	MT	2020-07-19
sample13006	MT	2020-07-20
sample13007	MT	2020-08-30
sample13047	NC	2020-03
sample13058	NC	2020-04
sample13056	NC	2020-04
sample13026	NC	2020-03
sample13044	NC	2020-03
sample13033	NC	2020-03
sample13066	NC	2020-04
sample13089	NC	2020-08-08
sample13078	NC	2020-04-30
sample13019	NC	2020-03
sample13032	NC	2020-03
sample13008	NC	2020-03
sample13075	NC	2020-04-30
sample13016	NC	2020-03-03
sample13025	NC	2020-03
sample13136	NE	2020-05-05
sample13113	NE	2020-05-04
sample13102	NE	2020-05-04
sample13111	NE	2020-05-04
sample13108	NE	2020-05-05
sample13123	NE	2020-05-04
sample13137	NE	2020-05-05
sample13146	NE	2020-05-05
sample13114	NE	2020-05-04
sample13133	NE	2020-05-05
sample13147	NE	2020-05-05
sample13117	NE	2020-05-04
sample13095	NE	2020-05-04
sample13131	NE	2020-05-04
sample13104	NE	2020-05-04
sample13152	NH	2020-02-29
sample13153	NH	2020-03-02
